	ag	test type	repl	loss	acc	recall	prec	f1
101	1WEJ	closed	8	0.16393224895000458	0.9402477201578876	0.9431292517006803	0.9377705627705628	0.9404422737756071
102	1WEJ	open	9	0.5310243368148804	0.8540816326530613	0.9274829931972789	0.8087554870091351	0.8640598263514798
103	1WEJ	closed	9	0.16957692801952362	0.9341908261875596	0.9274829931972789	0.9401461867328644	0.9337716594753784
104	1WEJ	open	6	0.5218537449836731	0.8601360544217687	0.9360544217687075	0.8126624143633357	0.8700050581689429
105	1WEJ	closed	6	0.17011377215385437	0.9348713760718661	0.9360544217687075	0.9338943939188272	0.9349731602908201
106	1WEJ	open	2	0.48801320791244507	0.8637414965986394	0.936734693877551	0.8174047251573073	0.8730108413111013
107	1WEJ	closed	2	0.16457656025886536	0.9394310602967197	0.936734693877551	0.9418604651162791	0.9392905866302865
108	1WEJ	open	3	0.6515246629714966	0.8424489795918367	0.939047619047619	0.7870011402508552	0.8563275434243176
109	1WEJ	closed	3	0.17262031137943268	0.9340547162106982	0.939047619047619	0.9298127441735148	0.9344073647871116
110	1WEJ	open	7	0.8106458783149719	0.8383673469387755	0.9336054421768708	0.7842285714285714	0.8524223602484472
111	1WEJ	closed	7	0.17146822810173035	0.9354158159793113	0.9336054421768708	0.9370476580636351	0.9353233830845771
112	1WEJ	open	10	0.5395240783691406	0.8557142857142858	0.9424489795918367	0.8031304347826087	0.8672300469483567
113	1WEJ	closed	10	0.17200219631195068	0.9334422213148224	0.9424489795918367	0.9258219727345629	0.9340614886731391
114	1WEJ	open	4	0.5236722230911255	0.8554421768707483	0.9314285714285714	0.8085508444549427	0.8656508819624453
115	1WEJ	closed	4	0.16745281219482422	0.933714441268545	0.9314285714285714	0.9357572443958447	0.9335878903586526
116	1WEJ	open	5	0.7477454543113708	0.8453061224489796	0.939047619047619	0.7907882676443629	0.8585644980718994
117	1WEJ	closed	5	0.16116829216480255	0.940179665169457	0.939047619047619	0.9412246011182327	0.9401348498263298
118	1WEJ	open	1	0.5582807660102844	0.8529931972789115	0.9359183673469388	0.8027774536118567	0.8642502669765689
119	1WEJ	closed	1	0.16685032844543457	0.9380019055396761	0.9359183673469388	0.9398824976089629	0.9378962437793987
120	1ADQ	open	5	0.5836634635925293	0.8145578231292517	0.9152380952380952	0.7618346545866365	0.8315203955500619
121	1ADQ	closed	5	0.25071942806243896	0.9047910711855179	0.9152380952380952	0.8965747034519526	0.9058102740187167
122	1ADQ	open	1	0.6766011714935303	0.785578231292517	0.9089795918367347	0.7290484504583151	0.8091316458762261
123	1ADQ	closed	1	0.2467317432165146	0.9030896964747516	0.9089795918367347	0.8984669176976869	0.9036926822670094
124	1ADQ	open	4	0.604033887386322	0.7905442176870748	0.8975510204081633	0.7393253390115432	0.8107908805997666
125	1ADQ	closed	4	0.24100327491760254	0.9047230161970873	0.8975510204081633	0.9106847045831032	0.9040701658215706
126	1ADQ	open	3	0.6807817816734314	0.7769387755102041	0.9206802721088435	0.7151009193701786	0.804972342829953
127	1ADQ	closed	3	0.24026422202587128	0.9062882809309922	0.9206802721088435	0.8949874355244015	0.9076520689423916
128	1ADQ	open	7	0.9006081819534302	0.7291156462585034	0.8997278911564626	0.6708257252992493	0.7685960018596002
129	1ADQ	closed	7	0.24185682833194733	0.9047910711855179	0.8997278911564626	0.9090034364261168	0.9043418803418802
130	1ADQ	open	6	0.7275392413139343	0.8034013605442177	0.9180952380952381	0.7467906153165117	0.8236299279873063
131	1ADQ	closed	6	0.22780025005340576	0.9143187695658092	0.9180952380952381	0.9112761647535449	0.9146729922060319
132	1ADQ	open	2	0.8478571176528931	0.7589115646258503	0.9066666666666666	0.6998529720646923	0.7899478425794215
133	1ADQ	closed	2	0.2446398138999939	0.9021369266367225	0.9066666666666666	0.8985976267529665	0.9026141135039956
134	1ADQ	open	10	0.6051877737045288	0.7936734693877551	0.9104761904761904	0.7380611006948274	0.8152524821831029
135	1ADQ	closed	10	0.24878279864788055	0.9021369266367225	0.9104761904761904	0.895610278372591	0.9029820537039536
136	1ADQ	open	9	0.6362795233726501	0.796530612244898	0.9148299319727892	0.7397953570249752	0.8180546261938073
137	1ADQ	closed	9	0.23789799213409424	0.9066966108615762	0.9148299319727892	0.9002543847904673	0.907483635872866
138	1ADQ	open	8	0.6861231327056885	0.7695238095238095	0.9069387755102041	0.7114194236926361	0.7973684210526316
139	1ADQ	closed	8	0.2550525367259979	0.8980536273308833	0.9069387755102041	0.8911764705882353	0.8989885367498314
140	1FBI	open	1	0.10807784646749496	0.9668707482993197	0.9785034013605443	0.9562558170456056	0.9672516979355794
141	1FBI	closed	1	0.08669693768024445	0.9711446849054036	0.9785034013605443	0.9643336015017431	0.971366828741221
142	1FBI	open	5	0.10770919173955917	0.9653741496598639	0.977687074829932	0.9541893506838401	0.9657953094550098
143	1FBI	closed	5	0.0874846950173378	0.9697155301483599	0.977687074829932	0.9623677514396679	0.9699669298778432
144	1FBI	open	4	0.1200784295797348	0.9654421768707483	0.9821768707482993	0.9503686150605581	0.9660109728355413
145	1FBI	closed	4	0.08867651969194412	0.9709405199401117	0.9821768707482993	0.9606121091151031	0.9712748065926673
146	1FBI	open	7	0.1282103806734085	0.963265306122449	0.9834013605442177	0.9453308919696574	0.9639903974393171
147	1FBI	closed	7	0.09158919006586075	0.9703960800326664	0.9834013605442177	0.9584935684922424	0.9707877241286682
148	1FBI	open	10	0.16323642432689667	0.952312925170068	0.9765986394557823	0.93136110029843	0.9534435810586438
149	1FBI	closed	10	0.10195347666740417	0.9665169456921192	0.9765986394557823	0.9573219525206722	0.966864224137931
150	1FBI	open	3	0.1785932183265686	0.9427891156462586	0.9669387755102041	0.9223880597014925	0.9441381600797076
151	1FBI	closed	3	0.11258981376886368	0.961685041513543	0.9669387755102041	0.956913962569005	0.9619002503891183
