,ag,test type,trained on,repl,loss,acc,recall,prec,f1
32,5E94,1 vs all,1 vs all,7,0.32361140847206116,0.8769825918762089,0.8976870748299319,0.8509156564353881,0.873675847457627
33,5E94,1 vs all,1 vs all,3,0.30949294567108154,0.8854287556415216,0.9127891156462585,0.8551943913320587,0.8830536360644949
34,5E94,1 vs all,1 vs all,1,0.3098468482494354,0.8843971631205674,0.9151020408163265,0.851931602279924,0.8823876680878977
35,5E94,1 vs all,1 vs all,10,0.3034348785877228,0.8886524822695036,0.9291156462585034,0.8499066583696329,0.8877478063048424
36,5E94,1 vs all,1 vs all,4,0.3038256764411926,0.8889748549323018,0.9220408163265306,0.8550340651021953,0.887274155538099
37,5E94,1 vs all,1 vs all,8,0.30262306332588196,0.8880722114764668,0.9225850340136055,0.8531706089582285,0.8865211138710942
38,5E94,1 vs all,1 vs all,6,0.3065864145755768,0.8859445519019987,0.9189115646258503,0.8520247256212943,0.8842050140734437
39,5E94,1 vs all,1 vs all,2,0.30809107422828674,0.8835589941972921,0.9129251700680272,0.8519553072625698,0.8813871010114278
40,1H0D,1 vs all,1 vs all,6,0.17884184420108795,0.9310602967197495,0.9481632653061225,0.9168530456518879,0.9322453347602168
41,1H0D,1 vs all,1 vs all,4,0.17926399409770966,0.9316727916156254,0.9531972789115646,0.9139055570049569,0.9331379861481087
42,1H0D,1 vs all,1 vs all,8,0.196878582239151,0.9247992377841295,0.9454421768707483,0.9080099307461126,0.9263480637205892
43,1H0D,1 vs all,1 vs all,10,0.17864324152469635,0.9309241867428882,0.9461224489795919,0.9182622474580747,0.9319841854854922
44,1H0D,1 vs all,1 vs all,2,0.18930719792842865,0.9291547570436913,0.9487074829931973,0.9130548644755794,0.9305398011610062
45,1H0D,1 vs all,1 vs all,7,0.1767069697380066,0.933714441268545,0.9507482993197279,0.9194736842105263,0.9348494983277592
46,1H0D,1 vs all,1 vs all,5,0.1858508288860321,0.9290867020552607,0.9361904761904762,0.9231285215991414,0.929613617941097
47,1H0D,1 vs all,1 vs all,9,0.1803913414478302,0.9311964066966109,0.9482993197278912,0.9169846072885147,0.9323791050765835
48,1H0D,1 vs all,1 vs all,1,0.18079909682273865,0.9313325166734722,0.9463945578231292,0.9187689869237882,0.932377186515649
49,1H0D,1 vs all,1 vs all,3,0.17935757339000702,0.9330338913842384,0.9497959183673469,0.9190363349131122,0.9341629867523082
50,1WEJ,1 vs all,1 vs all,5,0.20309388637542725,0.9215325983394583,0.9127891156462585,0.9290956931172968,0.9208702216731864
51,1WEJ,1 vs all,1 vs all,9,0.18785418570041656,0.9273853273444943,0.9225850340136055,0.9315840087924165,0.9270626837104382
52,1WEJ,1 vs all,1 vs all,7,0.189799964427948,0.9286783721246767,0.9213605442176871,0.9351008008837338,0.9281798245614036
53,1WEJ,1 vs all,1 vs all,3,0.18435736000537872,0.9285422621478154,0.9257142857142857,0.9310344827586207,0.9283667621776505
54,1WEJ,1 vs all,1 vs all,1,0.19679634273052216,0.9232339730502246,0.9194557823129251,0.926514943789416,0.9229718656104889
55,1WEJ,1 vs all,1 vs all,4,0.18663707375526428,0.9285422621478154,0.9323809523809524,0.9253308128544423,0.928842504743833
56,1WEJ,1 vs all,1 vs all,8,0.193044051527977,0.9224173131890567,0.917687074829932,0.926510989010989,0.922077922077922
57,1WEJ,1 vs all,1 vs all,10,0.18199807405471802,0.9326255614536546,0.9308843537414966,0.934188967777171,0.9325337331334334
58,1WEJ,1 vs all,1 vs all,6,0.18950125575065613,0.9269089424254798,0.9250340136054421,0.9285714285714286,0.9267993456924756
59,1WEJ,1 vs all,1 vs all,2,0.19039127230644226,0.9284742071593848,0.9257142857142857,0.9309071008345875,0.9283034313391091
60,1ADQ,1 vs all,1 vs all,3,0.2540608048439026,0.8996188920647884,0.9043537414965986,0.8959428494406254,0.9001286478434559
