,ag,test type,repl,loss,acc,recall,prec,f1
60,5E94,open,3,1.0552071332931519,0.6431972789115646,0.997687074829932,0.5837910994347584,0.7365777710813118
61,5E94,closed,3,0.03505254164338112,0.9915646258503401,0.997687074829932,0.9856182795698925,0.9916159567275187
62,5E94,open,1,1.0156224966049194,0.6378231292517007,0.9979591836734694,0.5801170515659602,0.7337201160348105
63,5E94,closed,1,0.03487299010157585,0.9912244897959184,0.9979591836734694,0.9846959323399114,0.9912831948104601
64,5E94,open,5,1.0242840051651,0.6370748299319728,0.9978231292517007,0.5796253852841223,0.7332900064990251
65,5E94,closed,5,0.034651171416044235,0.991360544217687,0.9978231292517007,0.9850906648757556,0.9914160189253127
66,5E94,open,9,1.025762915611267,0.6485714285714286,0.9975510204081632,0.5875,0.7394856278366112
67,5E94,closed,9,0.034761082381010056,0.991904761904762,0.9975510204081632,0.9864119467240683,0.9919502130825948
68,5E94,open,7,1.0206903219223022,0.6373469387755102,0.9978231292517007,0.579808680528105,0.7334366718335917
69,5E94,closed,7,0.03532099723815918,0.991156462585034,0.9978231292517007,0.9846938775510204,0.9912150290579809
70,5E94,open,2,0.9860571026802063,0.6473469387755102,0.9980952380952381,0.5865984327522789,0.7389202256244963
71,5E94,closed,2,0.034608688205480576,0.9918367346938776,0.9980952380952381,0.985756517065305,0.9918875067604112
72,5E94,open,4,0.9996092319488525,0.6410204081632653,0.997687074829932,0.5823076312236957,0.735395878253021
73,5E94,closed,4,0.03472999483346939,0.9916326530612245,0.997687074829932,0.9857507729533539,0.9916830076408141
74,5E94,open,8,1.005266547203064,0.645578231292517,0.997687074829932,0.585422321571132,0.737874823908231
75,5E94,closed,8,0.03499673306941986,0.9916326530612245,0.997687074829932,0.9857507729533539,0.9916830076408141
76,5E94,open,6,1.0795247554779053,0.6365986394557823,0.9978231292517007,0.579304897314376,0.7330334832583708
77,5E94,closed,6,0.035464365035295486,0.991360544217687,0.9978231292517007,0.9850906648757556,0.9914160189253127
78,5E94,open,10,1.0858815908432007,0.6352380952380953,0.9975510204081632,0.5784159040706848,0.732248077499251
79,5E94,closed,10,0.035312309861183167,0.9914285714285714,0.9975510204081632,0.9854838709677419,0.9914807302231238
80,1H0D,open,4,0.7720757126808167,0.6842857142857143,0.9885714285714285,0.6145648312611013,0.7579408543263965
81,1H0D,closed,4,0.08650334179401398,0.9753741496598639,0.9885714285714285,0.9631495227995758,0.9756949107022962
82,1H0D,open,8,0.8070263862609863,0.6701360544217687,0.9899319727891156,0.6037673222139242,0.7500644296685738
83,1H0D,closed,8,0.0863615944981575,0.9738775510204082,0.9899319727891156,0.9591352491431584,0.9742903053026245
84,1H0D,open,6,0.8356186747550964,0.6636734693877551,0.9889795918367347,0.5991592482690405,0.7462272867262087
85,1H0D,closed,6,0.09394267201423645,0.971156462585034,0.9889795918367347,0.9549395691014189,0.9716615425745221
86,1H0D,open,2,0.796357274055481,0.6815646258503402,0.9882993197278912,0.6125305675014757,0.7563121453485345
87,1H0D,closed,2,0.09047138690948486,0.9739455782312925,0.9882993197278912,0.9607194815500595,0.9743142646368452
88,1H0D,open,5,0.8042342066764832,0.6718367346938775,0.9897959183673469,0.6050399201596807,0.7510065035614741
89,1H0D,closed,5,0.08663062751293182,0.9741496598639455,0.9897959183673469,0.9597625329815304,0.9745478901540522
90,1H0D,open,9,0.8046871423721313,0.6712925170068027,0.9892517006802721,0.604707252162342,0.7505935790234335
91,1H0D,closed,9,0.08584801852703094,0.9742176870748299,0.9892517006802721,0.9603751155725796,0.9745995576703974
92,1H0D,open,10,0.7984517216682434,0.6755102040816326,0.991156462585034,0.6075896580483736,0.7533609100310238
93,1H0D,closed,10,0.08720935881137848,0.9743537414965986,0.991156462585034,0.958931157035672,0.9747775473339131
94,1H0D,open,7,0.7767149209976196,0.6836734693877551,0.9878911564625851,0.6141938758247335,0.7574587940746922
95,1H0D,closed,7,0.08707322925329208,0.9742176870748299,0.9878911564625851,0.9615944907959211,0.9745654654050064
96,1H0D,open,3,0.77801913022995,0.6804761904761905,0.9872108843537415,0.6118559743654608,0.7554792024571815
97,1H0D,closed,3,0.08710811287164688,0.9749659863945578,0.9872108843537415,0.9636122177954848,0.9752688172043011
98,1H0D,open,1,0.8053534030914307,0.6737414965986395,0.9891156462585035,0.606540964458535,0.7519652461729417
99,1H0D,closed,1,0.08803199976682663,0.9738775510204082,0.9891156462585035,0.9598626881436493,0.9742696328062183
100,1WEJ,open,7,0.8829796314239502,0.6601360544217687,0.9926530612244898,0.5961758457264259,0.7449458852358588
101,1WEJ,closed,7,0.06622857600450516,0.981360544217687,0.9926530612244898,0.9707291112293773,0.9815686802098749
102,1WEJ,open,5,0.8974276185035706,0.6540136054421769,0.9927891156462585,0.591808596918086,0.7415650406504065
103,1WEJ,closed,5,0.06779433786869049,0.9807482993197278,0.9927891156462585,0.969443337318985,0.9809773475835182
104,1WEJ,open,9,0.9823749661445618,0.656530612244898,0.9897959183673469,0.5939260347783493,0.7423848155518139
105,1WEJ,closed,9,0.07864660024642944,0.9782993197278912,0.9897959183673469,0.9675488761803431,0.9785459681215952
106,1WEJ,open,1,0.8750138878822327,0.6621768707482993,0.992108843537415,0.5977049180327869,0.7459846547314579
107,1WEJ,closed,1,0.06858540326356888,0.9804081632653061,0.992108843537415,0.969423025791013,0.9806347498655191
108,1WEJ,open,3,0.8868629932403564,0.6662585034013605,0.9919727891156462,0.6006755643433844,0.7482553366174056
109,1WEJ,closed,3,0.07329616695642471,0.9791836734693877,0.9919727891156462,0.9672326877155745,0.9794465341214401
110,1WEJ,open,6,0.9124528765678406,0.6593197278911564,0.9915646258503401,0.5957168546673206,0.7442810457516339
111,1WEJ,closed,6,0.06975707411766052,0.98,0.9915646258503401,0.9691489361702128,0.9802286482851379
112,1WEJ,open,4,0.8793436288833618,0.6587074829931973,0.9940136054421769,0.5949995928007167,0.7444087829232259
113,1WEJ,closed,4,0.06642049551010132,0.9810204081632653,0.9940136054421769,0.9688370242673385,0.9812638506480424
114,1WEJ,open,8,0.8989125490188599,0.6549659863945578,0.9926530612244898,0.5924963456228682,0.74206672091131
115,1WEJ,closed,8,0.0689978078007698,0.980204081632653,0.9926530612244898,0.9685384309040223,0.9804474904253175
116,1WEJ,open,10,0.945526659488678,0.6585714285714286,0.990204081632653,0.5953374233128834,0.7436015325670497
117,1WEJ,closed,10,0.07582680881023407,0.9785714285714285,0.990204081632653,0.9676904666932589,0.9788178333669558
118,1WEJ,open,2,0.8974102735519409,0.6591836734693878,0.992108843537415,0.5955570075138844,0.7443094824946412
119,1WEJ,closed,2,0.06852786242961884,0.9803401360544217,0.992108843537415,0.9692941645620098,0.9805688159752571
120,1ADQ,open,7,1.1811426877975464,0.6278911564625851,0.9892517006802721,0.5742378771126204,0.7266640015990405
121,1ADQ,closed,7,0.09066726267337799,0.9714285714285714,0.9892517006802721,0.9552023121387283,0.9719288865124983
122,1ADQ,open,5,1.1643645763397217,0.6374149659863946,0.9893877551020408,0.5806451612903226,0.7318104055549964
123,1ADQ,closed,5,0.09057384729385376,0.9737414965986395,0.9893877551020408,0.9593667546174143,0.9741460147354319
124,1ADQ,open,9,1.150942325592041,0.6273469387755102,0.9885714285714285,0.5739336492890995,0.7262368815592204
125,1ADQ,closed,9,0.09190718084573746,0.9706802721088436,0.9885714285714285,0.9544200709313018,0.971195615852436
126,1ADQ,open,1,1.2735494375228882,0.6365986394557823,0.9823129251700681,0.5807593307593307,0.72995652613487
127,1ADQ,closed,1,0.10829974710941315,0.9680272108843537,0.9823129251700681,0.955026455026455,0.9684775318578135
128,1ADQ,open,3,1.1834124326705933,0.6313605442176871,0.9873469387755102,0.5767305094174681,0.7281392665429188
129,1ADQ,closed,3,0.0928739681839943,0.9708163265306122,0.9873469387755102,0.9557487159225603,0.9712909054406745
130,1ADQ,open,6,1.1475863456726074,0.6355102040816326,0.988843537414966,0.5794005102040817,0.7306725645923393
131,1ADQ,closed,6,0.08771584182977676,0.9734693877551021,0.988843537414966,0.9593453009503696,0.9738710974139086
132,1ADQ,open,4,1.0826747417449951,0.6561904761904762,0.9848979591836735,0.5942373994417994,0.7412451361867706
133,1ADQ,closed,4,0.08825530856847763,0.9748979591836735,0.9848979591836735,0.9655862344937975,0.9751464942412609
134,1ADQ,open,8,1.1810437440872192,0.643673469387755,0.9842176870748299,0.5854645516348332,0.7341926316857809
135,1ADQ,closed,8,0.09443867206573486,0.9720408163265306,0.9842176870748299,0.9608181697436579,0.9723771758854761
136,1ADQ,open,2,1.1325631141662598,0.6282312925170068,0.9880272108843537,0.5745707730041933,0.7265996297963879
137,1ADQ,closed,2,0.09056406468153,0.9708843537414966,0.9880272108843537,0.9552749276506183,0.9713750668806849
138,1ADQ,open,10,1.171431541442871,0.6282312925170068,0.9900680272108844,0.5743941905438472,0.7270093411259304
