,neurons,activation,learning_rate,accuracy,task,target,epochs,batch_size
0,10,relu,0.001,0.7317310458013976,shuffled_weak,P49841,10,64
0,10,relu,0.001,0.7938175727120451,shuffled_weak,P49841,20,64
0,10,relu,0.001,0.8106187503172428,shuffled_weak,P49841,30,64
0,10,relu,0.001,0.8140111331066104,shuffled_weak,P49841,40,64
0,10,relu,0.001,0.8206943809958885,shuffled_weak,P49841,100,64
0,10,relu,0.001,0.8272118778142875,vs_Weak,Q13627,10,8
0,10,relu,0.001,0.8192040890836072,vs_Weak,Q13627,20,8
0,10,relu,0.001,0.8433248144091517,vs_Weak,Q13627,30,8
0,10,relu,0.001,0.8252403553608373,vs_Weak,Q13627,40,8
0,10,relu,0.001,0.8211756115370572,vs_Weak,Q13627,100,8
0,10,relu,0.001,0.8211877814287453,vs_Weak,Q13627,10,16
0,10,relu,0.001,0.8352561762200317,vs_Weak,Q13627,20,16
0,10,relu,0.001,0.8292564196178654,vs_Weak,Q13627,30,16
0,10,relu,0.001,0.8292564196178654,vs_Weak,Q13627,40,16
0,10,relu,0.001,0.8171595472800292,vs_Weak,Q13627,100,16
0,10,relu,0.001,0.7950225142996228,vs_Weak,Q13627,10,32
